[2025-01-26 06:59:41.684047 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.690403 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:41.764181 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.803952 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.809850 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:41.820459 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.916138 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.921917 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:41.931963 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:41.988107 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.108066 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.114770 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:42.164007 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.169947 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:42.212064 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.268096 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.274870 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 8
[2025-01-26 06:59:42.388213 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.404184 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.436102 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.442433 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:42.548274 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:42.628083 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.132909 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.138658 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 6
[2025-01-26 06:59:43.268421 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.274206 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:43.332334 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.338679 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:43.436258 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.516255 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.521810 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:43.612784 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 2
[2025-01-26 06:59:43.724325 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.730454 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:43.780375 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.786348 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:43.860339 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.868413 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:43.874187 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:43.948528 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:44.004661 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:44.164447 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:44.170917 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 8
[2025-01-26 06:59:44.300373 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:44.748444 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:44.755049 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:44.868567 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:44.956506 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:45.116519 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:45.123252 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:45.188872 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
[2025-01-26 06:59:45.204639 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:45.276767 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:45.396687 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:45.644608 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:46.004722 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:46.011240 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 7
[2025-01-26 06:59:46.116696 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:46.132689 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 0
[2025-01-26 06:59:46.188877 UTC] [Log] [App] SDL-LOG: Rendered frame, duration: 1
